id,severity,agiSurface,gapType,title,refProduct,refSurface,refScreen,detail,evidence,suggestedFix,image,status,owner,mergedFrom
GAP-012,P0,extension-vscode,missing-screen,"VS Code exposes a branded, complete settings editor",Codex,VS Code extension,Settings editor tab — General,"The extension now opens a branded AGI Settings editor with the reference information architecture: General, Configuration, Personalization, Usage & billing, MCP servers, Hooks, Plugins, and Account. Every active mutable agiWorkforce option has a described, typed control; deprecated planMode and read-only currentTier are not presented as writable settings. The surface distinguishes local developer sessions from cloud-backed utilities, shows account and tier context, reports workspace overrides, and keeps raw VS Code settings as an explicit escape hatch.","apps/extension-vscode/src/features/settings/SettingsPanel.ts owns the singleton WebviewPanel, validated host actions, account state, configuration refresh, and fixed external destinations. settingsWebviewContent.ts provides the responsive theme-token UI, complete section navigation, loading/status/error feedback, and labeled controls. settingsProtocol.ts rejects malformed keys, values, commands, URLs, and numeric ranges. platform/config.ts exposes the full active setting manifest and one typed user-scope write boundary; agent.mode still routes through setAgentModeWithConsent. commandSetup.ts, ChatStateManager.ts, desktopBridge.ts, package commands, and the sidebar title action route normal settings entry points to the branded panel. GAP-012-settings-panel.test.ts, GAP-012-settings-webview.webview.test.ts, settingsProtocol.test.ts, configDefaults.test.ts, and commandParity.test.ts cover singleton hosting, CSP, interaction, protocol validation, option completeness, registration, raw-settings escape, and bypass cancellation. Desktop and compact browser QA passed with no overflow, console errors, duplicate IDs, unnamed buttons, or unlabeled inputs.","Completed. Keep SETTINGS_PANEL_SETTING_KEYS in parity with every non-deprecated mutable package contribution, keep webview messages runtime-validated, and route future privileged settings through their enforcement or consent boundary. Hooks and a VS Code plugin registry remain capability-honest empty states until their local runtimes exist; per-server MCP management remains tracked in the P1 extensibility epic.",chatgpt_reference/014-codex-vscode-ext-settings-general-language-speed-composer.png,Done,VS Code,
GAP-013,P1,mobile,missing-screen,Mobile exposes an actionable and account-safe change-email handoff,ChatGPT,iOS,Account > Change email confirm dialog,"The Mobile Cloud Account screen now presents Email as a first-class settings row. Tapping it names the current address in a cancelable confirmation and Continue opens the authenticated Web account settings. The captured Cloud account epoch is revalidated before opening the handoff, so a stale confirmation cannot act after an account switch.","apps/mobile/src/features/settings/cloud-account/index.tsx mounts the Email SettingsRow and Change your email Alert with Cancel and Continue, then revalidates captureVisibleAccount before calling openExternalUrl for /settings/account. cloud-account-owner-switch.test.tsx verifies the current-address copy and Web handoff.",Completed. Keep the captured-account revalidation on the handoff and replace the Web destination only when Mobile owns a complete verify-new-address lifecycle.,chatgpt_reference/069-chatgpt-ios-settings-account-modal-change-email-confirm.png,Done,Mobile,
GAP-014,P1,mobile,missing-state,Restore purchases reports every terminal outcome and offers retry,ChatGPT,iOS,Billing > Restore purchases result,"Restore purchases now returns a typed terminal outcome instead of silently reverting the row label. Mobile shows a named restored-plan alert, an Apple ID or Google Play no-purchases alert, or a failure alert with a real retry action while retaining the existing inline error as persistent fallback.","apps/mobile/src/features/billing/useIapPurchaseFlow.ts returns restored, none, failed, or account-changed outcomes after store reconciliation and server verification. apps/mobile/src/features/settings/cloud-billing/index.tsx renders platform-aware Alerts and retries the restore operation. use-iap-purchase-flow.test.tsx and cloud-billing-page.test.tsx cover restored tiers, zero purchases, failure, and retry.",Completed. Keep server verification authoritative before reporting restoration success and preserve explicit no-result and retry states when the native IAP library changes.,chatgpt_reference/071-chatgpt-ios-settings-billing-modal-restore-purchases-ok-only.png,Done,Mobile,
GAP-015,P1,mobile,missing-state,Mobile prevents cross-platform duplicate subscription purchases,ChatGPT,iOS,Billing > cross-platform subscription block,"The entitlement response now names the server-authoritative subscription owner as none, Stripe, Apple, Google, or manual. Mobile persists that owner and fails closed before native purchase or plan-change entry points whenever an entitled subscription does not belong to the current device store. The blocking dialog names the management surface, explains the double-charge risk, and links to Web, App Store, or Google Play management when available.","packages/contracts/cloud-contracts/src/me.ts and apps/web/app/api/me/route.ts define and emit plan.subscription_source from persisted billing identifiers. apps/mobile/src/features/billing/store.ts persists the owner; subscriptionSource.ts centralizes current-store comparison, labels, and management links. useIapPurchaseFlow.ts blocks purchase requests as a second enforcement seam, while cloud-billing/index.tsx blocks Upgrade, Adjust plan, and Manage subscription with explicit guidance. safeOpenURL.ts permits the Apple and Google subscription destinations as exact hosts without broadening either domain family. Shared contract, Web route, tier-store, pure guard, safe-URL, purchase-flow, and billing-screen tests cover every source and the duplicate-purchase boundary.","Completed. Keep the source server-authoritative, fail unknown entitled ownership closed, and route every future Mobile purchase entry point through the shared subscription guard in addition to the existing server-side verification conflict check.",chatgpt_reference/070-chatgpt-ios-settings-billing-modal-subscription-external-platform.png,Done,Mobile,
GAP-016,P1,mobile,missing-screen,"Mobile exposes a dedicated, filterable full Chats history",Claude,iOS,Chats list,"Mobile now separates the composer-first new-chat surface from a dedicated Chats destination. The full-height screen shows every history-visible conversation in the active Local or Managed Cloud mode, groups it by pinned and recency, provides All, Pinned, and Unread filters, and keeps a floating New chat action visible. The drawer retains a deliberately compact Recents preview and links to the unbounded destination.","apps/mobile/app/(app)/chats/index.tsx registers the route; ChatsListScreen.tsx owns the mode-scoped unbounded SectionList, recency grouping, filter dialog, search field, empty states, and floating New chat action. DrawerContent.tsx exposes Chats and routes its search affordance to the full screen; the composer copy points users to Chats for history. chats-list-screen.test.tsx verifies ten uncapped rows, filters, search, and creation; drawer-content.test.tsx and drawer-route-contract.test.ts verify discoverability and route ownership.","Completed. Keep the drawer preview compact while preserving the unbounded Chats route, and apply every future history filter after the Local/Managed Cloud execution-mode boundary.",claude_reference/117-claude-ios-chats-list-greeting-and-two-older-chats.png,Done,Mobile,
GAP-017,P1,mobile,missing-screen,Mobile explains cross-device continuity when an account first enters Managed Cloud,Claude,iOS,Cowork cross-device continuity onboarding,"A full-screen continuity sheet now appears once per signed-in Cloud owner when that owner first enters Managed Cloud on the device. It carries the Beta state, a clear cross-device headline, three concrete benefits, a Start a task handoff into the Cloud composer, and a persisted Not now decision. Settings → Capabilities keeps the explanation replayable. The background-work promise explicitly names the existing completion notification route rather than implying that Local Mode runs after the app closes.","src/features/continuity owns the account-scoped encrypted-MMKV acknowledgement, first-Cloud gate, accessible full-screen explanation, and Managed Cloud composer handoff. app/(app)/continuity/index.tsx registers the route, the authenticated drawer mounts the gate, and settings/capabilities/index.tsx exposes the replay row. continuity-onboarding.test.tsx covers owner isolation, Local and acknowledged suppression, benefits, start/not-now behavior, sign-in fallback, and the task_completed notification contract; capabilities-settings.test.tsx covers replay routing, while cloud-tasks-screen.test.tsx and notification-auth-gate.test.ts cover the real run and notification seams.","Completed. Keep acknowledgement owner-scoped, keep automatic presentation gated on the Managed Cloud trust boundary, and keep any future background-work promise backed by a real server run state and authenticated notification deep link.",references-2/claude-ios-cowork-01-cross-device-continuity-onboarding.png,Done,Mobile,
GAP-018,P1,mobile,missing-control,"Mobile global search covers chats, projects, files, Library images, and artifacts",ChatGPT,iOS,Global search overlay,"The Chats search field names its complete scope and fans out over chat titles and message content, projects, transcript file attachments, generated Library images, and artifact metadata/content. Results render in labeled groups with source badges and route to the exact chat, project, image preview, or artifact preview. The projection uses only stores already authorized for the active Local or Managed Cloud mode; Local queries do not add network egress.","src/features/search/mobileGlobalSearch.ts owns the pure grouped projection and attachment metadata collector. ChatsListScreen.tsx selects mode-scoped conversations, messages, projects, images, and artifact provenance, rejects stale content-search results from a previous query, and routes typed results. Library and Artifacts route wrappers accept exact result ids; their feature screens revalidate the authorized store projection before opening. mobile-global-search.test.ts, chats-list-screen.test.tsx, library-search-deep-link.test.tsx, search-result-route-handoff.test.tsx, artifacts-code-sessions.test.tsx, and existing chat-view-search tests cover grouping, attachment discovery, mode boundaries, and exact handoffs.","Completed. Keep Local search on device, keep Cloud message search behind the existing authenticated Cloud boundary, and add new searchable domains only through typed authorized projections with exact destinations.",chatgpt_reference/078-chatgpt-ios-search-overlay-empty-prompt-state.png,Done,Mobile,
GAP-019,P1,mobile,missing-ia,Inline Mobile approval-policy picker is declined because Mobile is not the policy authority,Codex,iOS,Inline approval-mode picker reachable from the composer (Ask for approval / Approve for me / Full access),"The reference controls a session runtime owned by the same Mobile product, but agiworkforce's current surfaces do not share that authority model. The unshipped Mobile Code Sessions shell cited by the audit was removed. Paired Dispatch creates work on Desktop, where the persisted native approval, filesystem, sandbox, and tool-confirmation policies remain authoritative; a Mobile override is absent from the signed dispatch contract. The mounted composer already states that Desktop privacy and approval rules still apply. Adding an inline three-tier picker would therefore be a cosmetic control that could falsely imply Mobile can weaken Desktop safeguards.","apps/mobile/lib/v1FeatureFlags.ts keeps the legacy Mobile Agents surface disabled while Dispatch uses its separate authenticated contract. apps/mobile/src/features/cloud-bridge/README.md records removal of the unshipped Code Sessions shell. DispatchTaskComposer.tsx tells the user that Desktop privacy and approval rules still apply, and services/companion.ts plus packages/contracts/types/src/cross-device.ts carry no approval-policy override. Desktop coworkDispatch.ts submits the task under Desktop-owned runtime settings and native approval enforcement. The Action approvals route itself falls back to a read-only Ask state while FEATURES.agents is false, covered by auto-approve-settings.test.tsx.","Not planned for the current trust contract. Keep the inline Desktop-authority disclosure and per-action approval responses on Mobile. Reconsider a scoped picker only after the signed cross-device protocol, Desktop executor, persistence, revocation, and adversarial tests all support a task-bound override without weakening the native policy floor.",references-2/IMG_0627.PNG,Not Planned,Mobile,
GAP-020,P1,mobile,missing-ia,Mobile Library exposes mode-scoped Documents and attachment reuse,ChatGPT,iOS,Library,"Mobile Library now segments All / Images / Documents / Artifacts. Documents are projected from attachment metadata already persisted with the authorized Local transcript or current-account Managed Cloud transcript, including file name, MIME type, size, source conversation, URI, and owner-scoped asset id when present. The projection copies no file bytes and creates no cross-account index. Document cards open their exact source chat, and Add to Chat exposes Attach from Library. Reusing a Managed Cloud document forwards its existing asset id without downloading or uploading the bytes again; the completion route revalidates asset ownership server-side.","apps/mobile/src/features/library/index.tsx implements the Documents filter, metadata cards, mode-scoped transcript projection, and source-chat routing. mobileGlobalSearch.ts provides the shared attachment projection and owner-scoped asset deduplication. AddToChatSheet.tsx exposes Attach from Library; both chat routes wire it into the composer. chatExecutionStore.ts preserves attachment size and asset id and uploads only newly selected device files. library-search-deep-link.test.tsx, add-to-chat.test.tsx, mobile-global-search.test.ts, and chatStore.test.ts cover discovery, mode isolation, re-attachment, deduplication, exact deep links, and no-reupload Cloud reuse.","Completed. Keep attachment discovery derived from the physically separated transcript stores, retain server-side ownership validation for every reused Cloud asset id, and add direct document preview only when a bounded MIME-safe viewer is available.",chatgpt_reference/044-chatgpt-ios-library-upload-promo-upload-once-use-anytime.png,Done,Mobile,
GAP-021,P1,mobile,missing-control,Mobile Library has local search across images documents and artifacts,ChatGPT,iOS,Library grid,"Library now pins a Search library pill above the grid. It filters the already-authorized in-memory projection across generated-image prompt/source, document name/MIME/source conversation, and artifact title/content/kind/language/source. Results and the query-aware empty state update locally with no API request.","apps/mobile/src/features/library/index.tsx owns the Search library TextInput, clear action, local filtering, and query-aware empty state over the mode-scoped items projection. library-search-deep-link.test.tsx verifies document filtering, no-match feedback, restored matches, and exact source-chat navigation. The same predicate covers image prompt/source and artifact title/content/kind/language/source.","Completed. Keep Library search local over the authorized projection; introduce indexing or deferred filtering only after measured list sizes justify it, without broadening Local/Cloud data access.",chatgpt_reference/045-chatgpt-ios-library-grid-thumbnails-uploaded-screenshots-gallery.png,Done,Mobile,
GAP-022,P1,mobile,missing-interaction,Manual companion pairing accepts the exact code shown by Desktop,Codex,iOS,Pair manually dialog,"Mobile manual entry now teaches and displays the exact grouped 12-character format rendered beneath the Desktop QR code. Spaces and hyphens are normalized, legacy short inputs fail before connection, and current QR payloads remain accepted as the direct-token path. A manual code is exchanged over TLS at the rate-limited signaling service for the short-lived Mobile role token, after which the existing token-authenticated WebSocket registration and HMAC session setup continue unchanged. Invalid, expired, malformed-response, and already-connected cases surface explicit errors.","apps/mobile/src/features/companion/components/QRScanner.tsx uses the ABCD EFGH IJKL placeholder and Settings → Connections guidance. services/manualPairing.ts normalizes display separators, validates the current 12-character contract, derives the HTTPS signaling origin, performs the token claim without Clerk credentials or user content, and validates the bounded response. connectionStore.ts claims only when a QR token is absent and passes the returned role token into SignalingClient. services/signaling-server/src/index.ts exposes the strict 10/min/IP Mobile-only claim route with uniform invalid/expired responses and a duplicate-role guard. qr-scanner-manual.test.tsx, manual-pairing.test.ts, manual-pairing-connect.test.ts, dispatch-defense.test.ts, and signaling-server pairings.test.ts cover UI, normalization, exchange, WebSocket handoff, failures, and server contract.","Completed. Keep manual codes five-minute high-entropy bearer secrets, never log codes with role tokens, preserve the strict claim rate limit and Mobile-only role schema, and keep QR as the preferred no-exchange path.",chatgpt_reference/030-codex-ios-remote-setup-manual-pairing-code-modal-keyboard.png,Done,Mobile,
GAP-023,P1,mobile,missing-screen,Family account linking is not planned for the current device-only age-settings scope,ChatGPT,web,Parental controls,"The reference is an account-linked family-governance product. agiworkforce v1 makes a narrower product decision: its age gate stores a device-local minor-safe state and applies content filtering, but it does not create a parent/teen relationship, send invitations, grant another account access, or enforce remote usage, quiet-hour, model, or feature limits. Mobile now states that boundary directly instead of presenting its device age review as family governance.","The age-gate screen's module contract explicitly says there is no parental-consent flow in v1 and that minor-safe mode is a content filter only. parental-controls/index.tsx now labels the scope Device age settings only, enumerates the unavailable remote controls, and says review changes only this device; the minor status copy names the real pre-inference Local/Cloud filtering boundary. age-gate.tsx no longer implies that a linked parent account exists. parental-controls.test.tsx verifies the adult and minor disclosures plus the bounded on-device review route.","Not planned for the current v1 device-local trust model. Keep the explicit boundary copy and do not add an invite, family-member row, or remote-control setting until an account relationship service, mutual consent and revocation, authorization policy, audit trail, and cross-account isolation tests exist on both mobile and web.",chatgpt_reference/143-chatgpt-web-settings-parental-controls-add-family-member-link-accounts.png,Not Planned,Mobile,
